iter	Passed	Remaining
0	7	7439
1	14	7311
2	18	6211
3	22	5622
4	27	5486
5	32	5312
6	36	5115
7	40	4978
8	45	4959
9	49	4858
10	53	4775
11	57	4733
12	61	4690
13	66	4654
14	70	4609
15	75	4635
16	79	4596
17	83	4560
18	87	4526
19	92	4535
20	96	4504
21	100	4474
22	104	4457
23	109	4443
24	113	4419
25	117	4395
26	121	4384
27	126	4379
28	130	4361
29	134	4342
30	138	4340
31	142	4323
32	146	4306
33	151	4291
34	156	4324
35	160	4310
36	165	4316
37	170	4317
38	174	4307
39	179	4296
40	183	4287
41	188	4299
42	192	4290
43	196	4279
44	201	4273
45	206	4274
46	210	4263
47	214	4253
48	219	4252
49	223	4244
50	227	4234
51	231	4228
52	237	4235
53	241	4229
54	245	4222
55	250	4218
56	255	4228
57	260	4222
58	264	4220
59	270	4235
60	274	4226
61	278	4218
62	283	4214
63	287	4207
64	291	4198
65	296	4190
66	300	4186
67	304	4179
68	309	4171
69	315	4197
70	320	4193
71	325	4198
72	329	4190
73	335	4193
74	339	4184
75	343	4178
76	347	4171
77	352	4172
78	357	4163
79	361	4155
80	366	4161
81	371	4159
82	375	4151
83	379	4143
84	384	4138
85	388	4130
86	392	4122
87	397	4115
88	401	4107
89	405	4099
90	409	4091
91	413	4084
92	418	4078
93	422	4071
94	426	4065
95	432	4068
96	436	4064
97	440	4056
98	445	4052
99	449	4047
100	455	4050
101	460	4052
102	467	4071
103	473	4075
104	480	4094
105	489	4125
106	494	4130
107	501	4141
108	506	4142
109	512	4145
110	517	4144
111	521	4137
112	526	4133
113	531	4127
114	535	4120
115	540	4118
116	548	4135
117	554	4146
118	564	4176
119	570	4181
120	576	4190
121	585	4210
122	591	4215
123	598	4228
124	604	4230
125	612	4246
126	619	4256
127	624	4255
128	632	4268
129	638	4272
130	647	4297
131	657	4321
132	663	4326
133	669	4328
134	678	4346
135	685	4357
136	694	4374
137	702	4387
138	709	4395
139	714	4391
140	720	4391
141	726	4391
142	731	4386
143	736	4380
144	744	4388
145	755	4416
146	767	4455
147	781	4497
148	787	4498
149	802	4550
150	814	4579
151	823	4593
152	837	4637
153	850	4674
154	866	4725
155	882	4772
156	899	4832
157	907	4836
158	923	4882
159	939	4931
160	959	5001
161	977	5056
162	992	5096
163	1009	5144
164	1026	5193
165	1035	5204
166	1044	5210
167	1054	5220
168	1062	5224
169	1069	5219
170	1076	5217
171	1083	5217
172	1094	5234
173	1101	5230
174	1107	5221
175	1115	5220
176	1122	5218
177	1129	5214
178	1137	5217
179	1145	5219
180	1152	5217
181	1158	5205
182	1165	5202
183	1172	5199
184	1183	5214
185	1190	5208
186	1197	5208
187	1204	5202
188	1211	5200
189	1219	5198
190	1225	5189
191	1233	5191
192	1244	5205
193	1253	5205
194	1260	5201
195	1267	5199
196	1276	5204
197	1283	5200
198	1292	5201
199	1301	5207
200	1307	5198
201	1316	5201
202	1323	5196
203	1329	5186
204	1333	5172
205	1338	5158
206	1342	5144
207	1347	5130
208	1351	5116
209	1356	5102
210	1362	5093
211	1366	5080
212	1371	5066
213	1376	5054
214	1380	5041
215	1385	5027
216	1389	5015
217	1395	5005
218	1400	4993
219	1405	4982
220	1410	4973
221	1415	4960
222	1419	4947
223	1424	4935
224	1429	4923
225	1433	4910
226	1438	4897
227	1443	4887
228	1447	4874
229	1452	4861
230	1456	4849
231	1464	4846
232	1469	4835
233	1474	4827
234	1478	4814
235	1483	4801
236	1487	4789
237	1492	4779
238	1497	4767
239	1502	4757
240	1509	4754
241	1514	4744
242	1520	4735
243	1527	4732
244	1533	4724
245	1539	4719
246	1545	4710
247	1551	4703
248	1558	4699
249	1562	4688
250	1567	4678
251	1573	4670
252	1577	4658
253	1582	4646
254	1586	4635
255	1591	4624
256	1595	4612
257	1599	4601
258	1605	4593
259	1610	4582
260	1614	4572
261	1620	4564
262	1624	4553
263	1629	4541
264	1633	4530
265	1638	4521
266	1642	4509
267	1647	4498
268	1651	4488
269	1656	4478
270	1660	4467
271	1665	4456
272	1670	4448
273	1674	4437
274	1679	4427
275	1683	4416
276	1688	4406
277	1692	4395
278	1696	4385
279	1702	4377
280	1706	4366
281	1710	4356
282	1715	4345
283	1720	4337
284	1724	4327
285	1729	4316
286	1734	4309
287	1738	4298
288	1743	4288
289	1747	4278
290	1752	4269
291	1756	4259
292	1761	4249
293	1766	4241
294	1770	4231
295	1774	4221
296	1779	4211
297	1784	4203
298	1788	4193
299	1793	4184
300	1798	4175
301	1802	4166
302	1806	4156
303	1811	4146
304	1816	4139
305	1820	4129
306	1825	4119
307	1829	4111
308	1834	4102
309	1839	4093
310	1843	4084
311	1849	4077
312	1853	4067
313	1857	4057
314	1861	4048
315	1866	4039
316	1870	4029
317	1874	4020
318	1878	4011
319	1883	4001
320	1887	3992
321	1891	3982
322	1897	3976
323	1901	3966
324	1905	3957
325	1909	3947
326	1915	3942
327	1919	3932
328	1923	3923
329	1928	3916
330	1933	3907
331	1937	3898
332	1941	3889
333	1946	3881
334	1950	3872
335	1954	3862
336	1959	3854
337	1963	3845
338	1967	3836
339	1972	3828
340	1977	3821
341	1981	3812
342	1986	3805
343	1991	3797
344	1995	3789
345	2000	3780
346	2004	3772
347	2010	3766
348	2014	3758
349	2019	3749
350	2023	3741
351	2028	3733
352	2032	3725
353	2036	3717
354	2041	3709
355	2046	3701
356	2050	3693
357	2054	3684
358	2060	3679
359	2066	3673
360	2071	3666
361	2077	3662
362	2083	3656
363	2089	3650
364	2095	3645
365	2103	3643
366	2110	3639
367	2115	3633
368	2121	3628
369	2129	3626
370	2134	3619
371	2141	3614
372	2146	3608
373	2152	3602
374	2157	3596
375	2162	3588
376	2167	3581
377	2171	3573
378	2176	3565
379	2180	3557
380	2184	3549
381	2190	3543
382	2194	3535
383	2199	3528
384	2204	3522
385	2209	3514
386	2213	3506
387	2218	3498
388	2222	3491
389	2227	3483
390	2231	3475
391	2236	3468
392	2240	3460
393	2244	3452
394	2249	3444
395	2254	3438
396	2258	3431
397	2263	3423
398	2267	3416
399	2272	3408
400	2276	3400
401	2281	3393
402	2286	3387
403	2291	3380
404	2295	3372
405	2299	3364
406	2304	3357
407	2308	3349
408	2312	3341
409	2317	3334
410	2321	3326
411	2325	3318
412	2329	3311
413	2334	3305
414	2339	3297
415	2343	3289
416	2347	3282
417	2352	3275
418	2356	3268
419	2360	3260
420	2365	3253
421	2369	3245
422	2373	3238
423	2378	3230
424	2382	3223
425	2386	3216
426	2391	3208
427	2395	3201
428	2400	3195
429	2404	3187
430	2409	3180
431	2413	3173
432	2418	3166
433	2422	3159
434	2427	3152
435	2433	3148
436	2440	3144
437	2446	3138
438	2451	3132
439	2455	3125
440	2459	3118
441	2465	3111
442	2469	3104
443	2473	3097
444	2478	3090
445	2482	3084
446	2487	3076
447	2491	3069
448	2495	3062
449	2500	3056
450	2504	3049
451	2509	3042
452	2514	3036
453	2518	3029
454	2522	3022
455	2527	3015
456	2532	3008
457	2536	3001
458	2540	2994
459	2547	2990
460	2552	2984
461	2557	2977
462	2564	2974
463	2569	2968
464	2575	2963
465	2580	2957
466	2586	2952
467	2591	2945
468	2597	2941
469	2603	2935
470	2607	2928
471	2612	2922
472	2616	2915
473	2621	2908
474	2625	2902
475	2630	2895
476	2634	2888
477	2638	2881
478	2644	2876
479	2648	2869
480	2652	2862
481	2656	2855
482	2661	2848
483	2665	2841
484	2669	2834
485	2674	2828
486	2678	2821
487	2682	2814
488	2686	2807
489	2691	2801
490	2695	2794
491	2700	2787
492	2704	2781
493	2709	2775
494	2713	2768
495	2717	2761
496	2722	2755
497	2726	2748
498	2731	2742
499	2735	2735
500	2740	2729
501	2744	2722
502	2748	2716
503	2753	2709
504	2759	2704
505	2763	2698
506	2768	2691
507	2773	2686
508	2778	2680
509	2782	2673
510	2786	2666
511	2791	2660
512	2795	2653
513	2799	2647
514	2804	2641
515	2809	2634
516	2813	2628
517	2817	2621
518	2822	2616
519	2827	2609
520	2831	2603
521	2836	2597
522	2840	2590
523	2845	2584
524	2849	2578
525	2856	2573
526	2860	2567
527	2865	2561
528	2870	2555
529	2874	2549
530	2879	2543
531	2883	2536
532	2888	2530
533	2892	2524
534	2897	2517
535	2901	2511
536	2906	2505
537	2910	2499
538	2914	2492
539	2920	2487
540	2924	2481
541	2928	2474
542	2933	2468
543	2937	2462
544	2941	2455
545	2946	2449
546	2951	2444
547	2955	2437
548	2959	2431
549	2963	2424
550	2968	2419
551	2972	2412
552	2977	2406
553	2981	2400
554	2985	2394
555	2990	2387
556	2994	2381
557	2999	2375
558	3003	2369
559	3009	2364
560	3013	2358
